인물,임원직수,소속조직수,참여사건수,활동영역수,영역
다케우치 마키타로,1,1,2,0,
다케자키 로쿠지로,1,0,1,0,
다케카와 세이지,5,3,5,1,경제
다케카와 조,0,0,1,0,
다키타 기누조,0,1,1,0,
다키하라 기타로,2,2,1,0,
다테시마 료사부로,0,1,1,0,
다하타,1,0,0,0,
데라카와 산조,1,1,1,0,
데와 시게토,1,0,1,0,
도고 헤이하치로,1,0,0,0,
도리야마 고야타,1,1,2,0,
도미오카,1,0,0,0,
도미타 이타루,1,1,0,0,
도요타 게이조,1,1,1,1,동원
도요타 슌스케,1,1,1,0,
도이 요타로,1,1,2,0,
도조 쇼헤이,1,1,0,1,경제
도카노 시게오,1,0,0,0,
도쿠라,1,1,0,1,행정
도쿠라 기이치,0,2,2,0,
도쿠라 소로쿠,11,9,18,3,행정 ·경제 ·동원
도쿠히사 요네조,2,2,3,1,행정
류 고키치,1,1,1,1,행정
마루야마 시게토시,4,2,1,0,
마스다 노부유키,2,0,0,0,
마스다 도라타,11,9,26,4,행정 ·경제 ·언론 ·동원
마쓰나가 후사시치,1,1,0,0,
마쓰다 만로쿠,0,0,2,0,
마쓰다 신페이,0,0,1,0,
마쓰다 젠에이,1,1,1,0,
마쓰모토 다카쓰구,0,0,1,0,
마쓰모토 세이이치,1,2,2,1,행정
마쓰모토 시게마사,2,2,1,0,
마쓰무라,1,1,1,0,
마쓰무라 다이스케,2,2,2,1,행정
마쓰시타 나오미,3,1,7,0,
마쓰시타 나오히데,1,1,0,0,
마쓰오 이와키치,0,1,1,0,
마쓰이 사다요시,0,0,1,0,
마쓰이 시게루,2,1,0,0,
마쓰이 이치타로,0,1,1,0,
마에다 아쓰시,1,1,3,1,동원
마에자와 마사미,1,1,1,0,
마에카와 도모지,6,5,7,2,경제 ·동원
마유미 다다시,5,7,6,2,행정 ·동원
마이덴 오,0,0,1,0,
마치다 규고,6,6,8,2,언론 ·동원
마치다 사타오,1,0,0,0,
마키 신이치,1,1,1,0,
마키노 슈,4,2,7,1,언론
메가타 다네타로,4,0,0,0,
모로네 젠조,1,1,0,0,
