절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
82-2,82,영친왕의 유학으로 민심 동요,2,이토 태자태부,1298,1299,[J-25] 목차 엑셀 정본에 따른 82장 4절 복원 — 본문 1298행 표제 실재. J-16 폐기
82-3,82,영친왕의 유학으로 민심 동요,3,여단장 교체,1301,1302,[J-25] 목차 엑셀 정본에 따른 82장 4절 복원 — 구 82-2
82-4,82,영친왕의 유학으로 민심 동요,4,"민단, 위기로 무너지다",1304,1312,[J-25] 목차 엑셀 정본에 따른 82장 4절 복원 — 구 82-3
83-1,83,고문정치에서 차관정치로,1,국시6개조,1315,1325,
83-2,83,고문정치에서 차관정치로,2,통감권한 확충,1327,1333,
83-3,83,고문정치에서 차관정치로,3,경찰사무 통일,1335,1342,
84-1,84,성황을 이룬 천장절 봉축회,1,재류민의 결합,1345,1348,
84-2,84,성황을 이룬 천장절 봉축회,2,천장절 축하회,1350,1354,
84-3,84,성황을 이룬 천장절 봉축회,3,12여단 야회,1356,1361,
84-4,84,성황을 이룬 천장절 봉축회,4,부의 일치단결,1363,1364,
85-1,85,민장 불신임 결의로 가게야마 사퇴,1,지정학교 문제,1367,1372,
85-2,85,민장 불신임 결의로 가게야마 사퇴,2,민장 불신임안,1374,1375,
85-3,85,민장 불신임 결의로 가게야마 사퇴,3,의원도 사임하다,1377,1378,
86-1,86,민장 자리를 놓고 맹렬한 경쟁,1,모리나가의 독무대,1381,1384,
86-2,86,민장 자리를 놓고 맹렬한 경쟁,2,공민회가 생기다,1386,1387,
86-3,86,민장 자리를 놓고 맹렬한 경쟁,3,두 파의 인물들,1389,1394,
86-4,86,민장 자리를 놓고 맹렬한 경쟁,4,보궐선거 종료,1396,1399,
87-1,87,건의안을 내고 민장 선거,1,예산편성을 끝내다,1402,1429,
87-2,87,건의안을 내고 민장 선거,2,의장으로 아사노 당선,1431,1438,
87-3,87,건의안을 내고 민장 선거,3,와타나베의 품성,1440,1445,
87-4,87,건의안을 내고 민장 선거,4,건의안으로 선거,1447,1448,
88-1,88,민장 불인가로 논란 비등,1,민단법 해석,1451,1454,
88-2,88,민장 불인가로 논란 비등,2,불인가 지령,1456,1459,
88-3,88,민장 불인가로 논란 비등,3,오키타의 예봉,1461,1463,
88-4,88,민장 불인가로 논란 비등,4,눈병 난 오키타,1465,1466,
88-5,88,민장 불인가로 논란 비등,5,이사관도 변명,1468,1470,
89-1,89,명확하지 않은 불인가 이유,1,오키타 스테지로의 퇴한 처분,1473,1476,
89-2,89,명확하지 않은 불인가 이유,2,오키타의 퇴거,1478,1481,
89-3,89,명확하지 않은 불인가 이유,3,민회의 대책,1483,1486,
90-1,90,우지노의 호적수 미카지리 옹,1,군장님 군장님,1489,1492,
90-2,90,우지노의 호적수 미카지리 옹,2,우측통행 시대,1494,1498,
