절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
55-0,55,"대구 분란의 근원, 도로위원회",0,"대구 분란의 근원, 도로위원회(장서두)",723,724,장서두
55-1,55,"대구 분란의 근원, 도로위원회",1,극비리에 파괴,725,726,
55-2,55,"대구 분란의 근원, 도로위원회",2,정부의 불인가,728,729,
55-3,55,"대구 분란의 근원, 도로위원회",3,도로위원회,731,742,
56-1,56,도로위원회의 결의 불실행,1,이와세파의 실책,745,748,
56-2,56,도로위원회의 결의 불실행,2,완강한 이토,750,751,
56-3,56,도로위원회의 결의 불실행,3,당혹스러운 가게야마,753,754,
57-0,57,시가지 간선도로 첫 개통,0,시가지 간선도로 첫 개통(장서두),757,758,장서두
57-1,57,시가지 간선도로 첫 개통,1,십자도로 개통,759,761,
57-2,57,시가지 간선도로 첫 개통,2,맹렬한 선거전,762,770,
57-3,57,시가지 간선도로 첫 개통,3,회의소 개설,772,776,
58-1,58,엄선한 12명의 공인 후보자,1,후보자들의 거주지,778,809,
58-2,58,엄선한 12명의 공인 후보자,2,격렬한 경쟁,811,812,
59-1,59,유곽지 설정 문제를 중심으로 논쟁,1,민회의원 당선,815,820,
59-2,59,유곽지 설정 문제를 중심으로 논쟁,2,제1회 회의,822,829,
59-3,59,유곽지 설정 문제를 중심으로 논쟁,3,유곽설치 반대,831,834,
