인물,대구도래연도,조선도래연도,근거절,원문 근거,비고
히자쓰키 마스키치,1893-09,,11-1,"""히자쓰키는 1893년 9월에 대구에 온 인물로 일본인으로서는 최초의 이주자""",대구 최초 일본인 이주자
미와 조테쓰,1903,1891,39-2,"""1891년에 잠업교사로서 한 번 한국에 건너왔다가 1903년에 매약을 가지고 대구에 와서""",★조선 도래 1891과 대구 도래 1903 구별 — 속성표는 1891로 기록
이즈카 쇼이치,1903경,히자쓰키 이전,39-2,"""조선에 히자쓰키보다 먼저 왔지만 대구에는 1903년 쯤에 왔던 것 같다""","조선 도래는 1893 이전, 연도 불명"
모리나가 소이치,1903-12,,39-2,"""모리나가 소이치가 대구에 온 것은 1903년 연말""",
도쿠라 소로쿠,1903-12,,39-2,"""1903년 연말이고 도쿠라 소로쿠와 함께 스탠다드 석유의 판로 확장이 임무였다""",속성표 1903과 일치 — 근거절·월 보강
사카모토 도시스케,,1897경(부산),39-2,"""1897년 무렵부터 부산에 와 있었다""",대구 도래 연도 불명
오구라 다케노스케,1904-01경,,96-2,"""오구라 다케노스케, 후지나와 분준, 시부사와 슈조는 모두 대구의 개척자 중에서도 개척자였다. 1904년 1월경 앞서거니 뒷서거니 대구로 들어왔고""",★속성표 공란 → 신규 확정
후지나와 분준,1904-01경,,96-2,상동,★속성표 공란 → 신규 확정
시부사와 슈조,1904-01경,,96-2,상동,"★속성표는 민단사 p.64 ""1904~05"" — 본문이 더 정확하므로 1904-01경으로 확정"
