한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
고다마 이타로,小玉伊太郎,2,15,4,1,0,1,0, | 병합: 고타마 이타로(兒玉伊太郎)
사토 슈조,佐藤周藏,7,15,8,1,1,1,1,
샤쿠오 슌조,釋尾春仍,4,15,6,1,1,1,0,샤쿠오 슌조(釋尾春芿)
이용익,李容翊,0,15,8,1,1,0,0,신규: 경상도관찰사·탁지부 — 검증시트 누락 반영
이즈미 스에지,泉末治,7,15,8,1,0,0,0,
노사카,野坂,0,14,7,0,0,0,0,"신규: 조선민보 관계(단락 1088~1092·1141·1161·1387) — 풀네임 불명, 2차 검증 누락 반영"
소네 아라스케,曾禰荒助,2,14,9,1,0,1,0,
아사노 세이치,麻野清一,3,14,11,1,1,1,0,
이충구,李忠求,1,14,8,1,0,0,0,
하세가와 요시미치,長谷川好道,5,14,8,0,0,1,0,하세가와(長谷川); 하세가와 요시미쓰(長谷川好道)
마키노 슈,牧野周,0,13,5,0,0,0,1,출처: 대구물어단체와인물.docx(대구구락부)·조선대구일반 p.120 — 병기 부재로 정규식 누락 추정
이노우에 쓰네나오,井上常直,6,13,5,1,0,1,0,구표기: 이노우에 쓰네타다
하타모토 기헤이,畑本儀平,4,13,6,1,1,1,1,
니시자와 사토루,西澤智,3,12,8,1,0,1,0,
미카지리 다케사부로,三ヶ尻武三郎,0,12,6,0,0,0,0,신규: 민회의원 — 가나 포함 한자로 정규식 누락
송병준,宋秉畯,0,12,9,0,0,0,0,신규: 농상공부대신·일진회 — 검증시트 누락 반영
오이케 주스케,大池忠助,3,12,4,0,0,0,0,
오카다 기하치,岡田二郎,4,12,4,0,1,0,0,오카다 지로(岡田二郞) | 병합: 오카다 기하치(岡田喜八) | 병합: 오카다 기하치로(岡田喜八郎)
요시다 주이치로,吉田壽一郎,6,12,6,1,0,0,0,
이시이 미쓰오,石井光雄,5,12,6,1,0,0,0,
이케가미 시로,池上四郎,5,12,7,1,0,1,0,
마쓰무라 다이스케,松村泰輔,4,11,6,1,0,0,0,
서상돈,徐相敦,0,11,7,1,1,0,0,신규: 대구 자산가·국채보상운동
아리타 오토마쓰,有田音松,1,11,4,0,0,0,0,
