한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
나카야마 만조,中山萬三,1,2,1,0,0,0,0,
나카야마 히사키치,中山久吉,1,2,1,0,0,0,0,
나카에 도미주로,中江富十郎,1,2,1,1,0,1,1,
나카이 긴조,中井金城,1,2,1,0,0,0,0,
노다 헤이지로,野田平次郎,1,2,1,0,0,0,0,
노다 히코지로,野田彥次郎,1,2,1,0,0,0,0,
노무라 후사요시,野村房吉,1,2,1,0,0,0,0,
노시마 스스무,能島進,1,2,1,0,0,0,0,
니노미야 규지,二宮久次,1,2,1,0,0,0,0,
니시모토 온키치,西本音吉,1,2,1,0,0,0,0,
니시무라 다케지로,西村竹次郎,1,2,1,0,0,0,0,
니시무라 우이치로,西村右一郎,1,2,1,0,0,0,0,
니시바야시 준스케,西林純助,1,2,1,0,0,0,0,
니시야마 쓰네,西山ツネ,0,2,1,0,0,0,0,신규: 단락 795
니시야마 주스케,西山重助,1,2,1,0,0,0,0,
니타니 마쓰스케,新谷松助,1,2,1,1,0,0,0,
다나카 준지,田中順次,1,2,1,0,0,0,0,
다나카 후지타로,田中藤太郎,1,2,1,0,0,0,0,
다니구치 세이노스케,谷口清之助,1,2,1,0,0,0,0,
다카누키 세이치,高貫政一,1,2,1,0,0,0,0,
다카다 신보,高田信豐,1,2,1,0,0,0,0,
다카마쓰 요시에,高松芳江,1,2,1,0,0,0,0,
다카야마 히데오,高山英男,1,2,1,0,0,0,0,
다카키 신지,高木信二,1,2,1,0,0,0,0,
다카하시 우스케,高橋卯助,1,2,1,0,0,1,0,
다케우치 가이치로,竹内嘉一郎,1,2,1,0,0,0,0,
다케우치 도라조,竹內寅造,1,2,1,0,0,0,0,
다케자키 로쿠지로,竹崎六次郎,0,2,1,1,0,1,0,신규: 대구 부윤(단락 889) — 2차 검증 누락 반영(사용자 확인)
다케카와 조,武川チョ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1299)
다키타 기누조,田北網,1,2,1,0,0,0,0,
다테시마 료사부로,立島領三郎,1,2,1,0,0,0,0,
도미타 이타루,富田格,1,2,1,0,0,0,0,
도요타 게이조,豐田敬藏,1,2,1,0,0,0,0,
도조 쇼헤이,東條正平,1,2,1,0,1,1,0,
류 고키치,龍浩吉,0,2,1,0,0,0,0,신규: 단락 368 이와세 일파 — 검증표본 판정 반영
마스다 노부유키,增田信之,1,2,1,0,0,0,0,
마쓰나가 후사시치,松永房七,1,2,1,0,0,0,0,
마쓰다 신페이,松田眞平,1,2,1,0,0,0,0,
마쓰다 젠에이,松田善衛,1,2,1,0,0,0,0,
마쓰모토 다카쓰구,松本孝次,1,2,1,0,0,0,0,
마쓰시타 나오히데,松下直英,1,2,1,0,0,0,0,
마쓰오 이와키치,松尾岩吉,1,2,1,0,0,0,0,
마쓰이 사다요시,松井貞義,1,2,1,0,0,0,0,
마쓰이 이치타로,松井市太郎,0,2,1,0,0,1,0,신규: 팔조회(단락 339)
마치다 사타오,町田佐太夫,1,2,1,0,0,0,0,
마키 준이치로,牧純淳一郎,1,2,1,0,0,0,0,
모로네 젠조,諸根善藏,1,2,1,0,0,0,0,
모리모토 도네쓰키,森本都音樹,1,2,1,0,1,0,0,
모리모토 마사타로,森本政太郎,1,2,1,0,0,0,0,
모리사키 시카마쓰,森崎鹿松,1,2,1,0,0,1,0,
모리타 로쿠오,守田六男,1,2,1,1,0,1,0,
모모하라 야오조,桃原八百造,1,2,1,0,0,0,0,
모쿠자키 야소하치,目崎八十八,1,2,1,0,0,0,0,
무라마쓰 스케유키,村松祐之,1,2,1,0,0,0,0,
무라오카 시게루,村岡茂,1,2,1,0,0,0,0,
무라오카 후데타로,村岡筆太郎,1,2,1,0,0,0,0,
무라카미 도모요시,村上知義,1,2,1,0,0,0,0,
무라카와 가이치,村川嘉一,1,2,1,0,1,0,0,
무로타 요시부미,室田義文,1,2,1,0,0,0,0,
무카이 도모키치,向井友吉,1,2,1,0,0,0,0,
무타,牟田,0,2,1,1,1,1,0,신규: 참모장(단락 908)
미네 하치로,嶺八郎,1,2,1,0,0,0,0,
미네키시 시게타로,峰岸繁太郎,1,2,1,0,0,0,0,
미사와 도시오,三澤俊雄,1,2,1,0,0,0,0,
미사와 마사오,三澤昌雄,1,2,1,0,0,0,0,
미쓰나리 도모사부로,光成友三郎,1,2,1,0,0,1,0,
미야마 요시노스케,三山芳之助,1,2,1,0,0,0,0,
미야오카,宮岡,0,2,1,0,0,0,0,신규: 이토 통감 수행(단락 908)
미야이 마사카즈,宮井正一,1,2,1,0,0,1,0,
미야자키 고쿠조,宮崎穀造,1,2,1,0,0,0,0,
미야케 아키타로,三宅明太郎,1,2,1,0,0,0,0,
미와 노부오,三輪伸雄,1,2,1,0,0,0,0,
미와 유리,三輪ユリ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1305)
미즈타 야스지로,水田安次郎,1,2,1,0,0,0,0,
미하라 나오유키,三原直之,1,2,1,0,0,0,0,
미하시 지요타로,三橋千代太郎,1,2,1,0,0,0,0,
민영직,閔泳直,1,2,1,0,0,0,0,
박성초,朴成初,1,2,1,0,0,0,0,
박영효,朴泳孝,0,2,2,0,0,0,0,신규: 후작 — 2차 검증 누락 반영
박준효,朴準孝,1,2,1,1,0,0,0,
백남준,白南俊,0,2,1,0,0,0,0,신규: 관찰사 참서관(단락 763)
사사마 조,笹間定,0,2,1,0,0,0,0,신규: 단락 737
사에키 히코이치,佐伯彦一,1,2,1,0,0,1,0,
사이토 소시로,齋藤宗四郎,1,2,1,1,0,0,0,
사이토 쇼자부로,齋藤庄三郎,1,2,1,1,0,0,0,
사이토 헤이키치,斎藤兵吉,1,2,1,0,0,0,0,
사카마키 기쿠노조,酒巻菊之丞,1,2,1,0,0,1,0,
사카이 가네키치,堺兼吉,1,2,1,0,0,1,0,
사카이 사쿠조,酒井作藏,1,2,1,0,0,0,0,
사코 우타코,酒匂歌子,1,2,1,0,0,0,0,
사토 스스무,佐藤進,1,2,1,0,0,0,0,
센가 다마키,千賀環,1,2,1,0,0,0,0,
손문옥,孫文玉,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 708)
스기하라 조타로,杉原長太郎,1,2,1,0,0,0,0,
스에마쓰 겐초,末松謙澄,1,2,1,0,0,0,0,
스에마쓰 긴지로,末松金次郎,1,2,1,0,0,0,0,
스에이시 모스케,末石茂助,1,2,1,0,0,0,0,
스에자와 요이치,末澤與市,1,2,1,0,0,0,0,
스즈키 이리시게,鈴木入重,1,2,1,0,0,0,0,
시가 주코,志賀重昂,1,2,1,0,0,0,1,
시모바야시 야스타케,下林保武,1,2,1,0,0,0,0,
시모조 효자부로,下條兵三郎,1,2,1,0,0,0,0,
시타가와 하루,下川ハル,0,2,1,0,0,0,0,신규: 단락 795
쓰치다 준사쿠,土田順作,1,2,1,0,0,0,0,
쓰치야 시게사쿠,土屋重作,1,2,1,0,0,0,0,
쓰카하라 보쿠덴,塚原卜傳,1,2,1,0,0,0,0,
아다치 다키지로,足立瀧二郎,1,2,1,0,0,0,0,
아베 기노스케,安部喜之助,1,2,1,0,0,0,0,
아베 도시로,阿部藤四郎,1,2,1,0,0,0,0,
아오누마 규이치로,青沼九一郎,1,2,1,0,0,0,0,
아오누마 쇼타,青沼勝太,1,2,1,0,0,0,0,
아오시마 구메조,青島久米造,1,2,1,0,0,0,0,
아카시 세이,明石セイ,0,2,1,0,0,0,0,"신규: 소학교 수상자(단락 1307) — 아카시 세이코와 동일인 가능성, 확인 필요"
아카시 세이코,,0,2,1,0,0,0,0,출처: 대구물어단체와인물.docx(대구소학교) — 한자 미상
아카시 야스이치로,赤司安一郎,1,2,1,0,0,0,0,
아카쿠라 야타로,赤倉彌太郎,1,2,1,0,0,0,0,
아키모토 세이타로,秋本政太郎,1,2,1,0,0,0,0,
아키야마 시카렌,秋山鹿連,1,2,1,0,0,0,0,
안노 세이,安武セイ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1309)
안도 마사지로,安藤正次郎,1,2,1,1,0,0,0,
야마가미 사다나오,山上定直,1,2,1,0,0,0,0,
야마네 마사지,山根政治,1,2,1,0,0,0,0,
야마노 우에쿠니,,0,2,1,0,0,0,0,출처: 대구물어단체와인물.docx(대구소학교) — 한자 미상
야마다 고지,山田孝次,1,2,1,0,0,1,0,
야마다 기쿠지로,山田菊次郎,1,2,1,0,1,1,0,
야마다 사다카즈,山田貞一,1,2,1,0,0,0,0,
야마다 슈조,山田周藏,1,2,1,0,0,0,0,
야마다 신타로,山田信太朗,1,2,1,0,0,0,0,
야마다 우메지로,山田梅次郎,1,2,1,0,0,1,0,
야마다 히로미치,山田博道,1,2,1,0,0,0,0,
야마모토 준이치,山本純一,1,2,1,0,0,0,0,
야마시타 사카에,山下サカエ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 707)
야마자키 도모사부로,山崎友三郎,1,2,1,0,0,0,0,
야스다 구스지,保田楠二,1,2,1,0,0,0,0,
야오 교조,八尾恭三,1,2,1,0,0,0,0,
야하시 요시타네,矢橋良胤,1,2,1,0,0,0,0,
양재훈,梁在薰,1,2,1,0,0,0,0,
에이 산타로,江伊三太郎,1,2,1,0,0,0,0,
오가 기사부로,大賀喜三郎,1,2,1,0,0,0,0,
오가사 구마지로,小笠熊治郞,1,2,1,0,0,0,0,
오가와 가쓰히라,小川勝平,1,2,1,0,0,0,0,
오노 구라타,小野庫太,1,2,1,0,0,0,0,
오니즈카 슈이쓰,鬼塚秀逸,1,2,1,0,0,0,0,
오다 덴,織田傳,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1299)
오다 리사쿠,小田利作,1,2,1,0,0,0,0,
오다와라 류이치,小田原留一,1,2,1,0,0,0,0,
오리토 기요이치,織戸吉代一,1,2,1,0,0,0,0,
오무라 모토요,大村大代,1,2,1,1,0,0,0,
오바 데쓰조,大場鐡象,1,2,1,0,0,0,0,
오쓰카 지카미,大塚親見,1,2,1,0,0,0,0,
오에 류타로,大江隆太郞,1,2,1,0,0,0,0,
오옥경,吳玉景,1,2,1,0,0,0,0,
오자와 고토부키,小澤壽,1,2,1,0,0,0,0,
오카다 데쓰고로,岡田鐵五郞,1,2,1,0,0,0,0,
오카무라 가쓰토시,岡村克已,1,2,1,0,0,0,0,
오쿠마 시게노부,大隈重信,1,2,1,0,0,0,0,
오쿠보 하루노,大久保春野,1,2,1,1,1,0,0,주차군사령관 오쿠보 대장(大久保春野 추정) — 하지메·다사부로와 별개 인물
오쿠이 와헤이,奥井和平,1,2,1,0,0,0,0,
오타 가쓰사부로,太田勝三郎,1,2,1,0,0,0,1,
오하라 준지,小原遵路,1,2,1,0,0,0,0,
와타나베 다케,渡邊タケ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1299)
와타나베 도키오,渡邊時雄,1,2,1,0,0,0,0,
와타나베 슌조,渡邊春三,1,2,1,0,0,0,0,
와타나베 우조,渡邊烏城,1,2,1,0,0,0,0,
요시노 긴사쿠,吉野金作,1,2,1,0,0,0,0,
요시다 가쓰사부로,吉田勝三郎,1,2,1,0,0,0,0,
요시다 다이조,吉田太三,1,2,1,0,0,0,0,
요시모토 신지,吉本信次,1,2,1,0,0,0,0,
요시무라 가쓰타로,嘉村勝太郎,1,2,1,0,0,0,0,
요시무라 시즈오,吉村鎭雄,1,2,1,0,1,1,0,
요시오카 고잔,吉岡香山,1,2,1,0,0,0,0,
요시오카 도시오,吉岡敏雄,1,2,1,0,0,0,0,
요시카와 가메키치,吉川亀吉,1,2,1,0,0,0,0,
요시키 도시조,吉木利造,1,2,1,1,0,0,0,
우메다 이와키,梅田岩樹,1,2,1,0,0,1,0,
우메자키 신타로,梅崎辰太郎,1,2,1,0,0,0,0,
우시오카 라히사,潮嘉良久,1,2,1,0,0,0,0,
우에다 리키마쓰,上田力松,1,2,1,0,0,0,0,
우에마쓰 조마쓰,上松長松,1,2,1,0,0,0,0,
원은상,元殷常,1,2,1,0,0,0,0,
육종만,陸鍾晚,0,2,1,0,0,0,0,신규: 검사(단락 765)
윤헌,尹憲,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거)
이나가키 시게미치,稲垣重道,1,2,1,0,0,0,0,
이나타 나카지,稲田仲次,1,2,1,0,0,0,0,
이노우에 고사이,井上孝哉,1,2,1,0,0,0,0,
이노우에 산고,井上三綱,1,2,1,0,0,1,0,
이노우에 준노스케,井上準之助,1,2,1,0,0,0,0,
이마이 다다오,今井忠雄,1,2,1,0,0,0,0,
이사카 다카시,井坂孝,1,2,1,0,0,0,0,
이시마쓰 시게키,石松繁木,1,2,1,0,0,0,0,
이시즈카 에이조,石塚英藏,1,2,1,0,0,0,0,
이시카와 오쿠조,石川奥蔵,1,2,1,0,0,0,0,
이와나가 마지,岩永馬二,1,2,1,0,0,0,0,
이와나가 젠지로,岩永善次郎,1,2,1,0,0,1,0,
이와사 데이조,岩佐程三,1,2,1,0,0,0,0,
이와사키 다미야,岩崎民哉,1,2,1,1,0,1,0,
이와야 마쓰헤이,岩谷松平,1,2,1,0,0,0,0,
이용직,李容直,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거) 
이유인,李裕寅,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거)
이재곤,李載崑,0,2,2,0,0,0,0,신규: 학부대신 — 2차 검증 누락 반영
이종국,,0,2,1,1,0,1,0,신규: 잠업전습소 관련(단락 370) — 한자 미상
이중하,李重夏,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거)
이케다 덴지,池田傅次,1,2,1,0,0,0,0,
이케다 쓰네요시,池田常吉,1,2,1,0,0,0,0,
이케다 야스치카,池田泰親,1,2,1,0,0,0,0,
이케우치 도시,池内トシ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1309)
이케우치 시게히라,池内重平,1,2,1,0,0,0,0,
이케우치 야에,池内ヤエ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1305)
이쿠하시 도시코,生橋トシ子,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1303)
이토 구마사부로,伊藤熊三郎,1,2,1,0,0,0,1,
이토 요시,伊藤ヨシ,0,2,1,1,0,1,0,신규: 소학교 수상자(단락 1311)
이헌영,李憲永,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거)
임선준,任善準,0,2,2,0,0,0,0,신규: 내부대신 — 2차 검증 누락 반영
전우,田愚,0,2,1,0,0,0,0,신규: 유학자(단락 394)
정재학,鄭在學,0,2,2,1,1,1,0,신규: 대구 자산가(단락 895·1185) — 2차 검증 누락 반영
조병호,趙秉鎬,0,2,1,1,0,0,0,신규: 관찰사(본문 440 열거)
조중응,趙重應,0,2,2,0,0,0,0,신규: 법부대신 — 2차 검증 누락 반영
최만달,,0,2,2,1,0,0,0,"신규: 관찰도 주사(단락 279·1229) — 한자 미상, 검증표본 판정 반영"
하나부사 요시토모,花房義質,0,2,1,0,0,0,0,"신규: 남작 — 황태자 수행(단락 900), 2차 검증 누락 반영(사용자 확인)"
하나사키 기사부로,濱崎喜三郎,1,2,1,0,0,0,0,
하나이 다쿠조,花井卓蔵,1,2,1,0,0,0,1,
하라 신스케,原辰助,1,2,1,0,0,0,0,
하라 이와타로,原岩太郎,1,2,1,0,0,1,0,
하라다 기이치,原田儀一,1,2,1,0,0,0,0,
하라타 요시조,原田由蔵,1,2,1,0,0,0,0,
하마구치 오사치,濱口雄幸,0,2,1,0,0,0,0,"신규: 대장성 관료(후일 수상), 단락 625"
하세가와 가메타로,長谷川亀太郎,1,2,1,0,0,0,0,
하세가와 다이치,長谷川太一,1,2,1,0,0,0,0,
하야시 이치리키,林一力,1,2,1,0,0,0,0,
하야시 이치조,林市藏,1,2,1,0,0,0,0,
하야시 한스케,林半祐,1,2,1,0,0,0,0,
하치야 겐,蜂屋謙,0,2,1,0,0,0,0,신규: 측후소(단락 793)
호다 슈,補田秀,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1307)
호리케 도라조,堀家虎藏,1,2,1,0,0,0,0,
호시 도루,星亨,0,2,1,0,0,0,0,신규: 정치가(단락 216)
호쿠조 준조,北條順藏,1,2,1,0,0,0,0,
혼다 고스케,本田孝介,1,2,1,0,0,0,0,
후루쇼 야스요,古莊安代,1,2,1,0,0,0,0,
후루야(이토 수행원),古谷,0,2,1,1,1,1,0,신규: 이토 통감 수행(단락 908) — 후루야 지스케와 별개(사용자 확인)
후리하타 기요미,降旗清美,1,2,1,0,0,0,0,
후와 다로시치,不破太郎七,1,2,1,0,0,0,0,
후지오카 요시오,藤岡嘉郎,1,2,1,0,0,0,0,
후지타 다카시,藤田豐,1,2,1,0,0,0,0,
후쿠타 마스베,福田増兵衛,1,2,1,0,0,0,0,
히라사와 이와타로,平澤岩太郎,1,2,1,0,0,1,0,
히로노 사쿠지로,弘野作次郎,1,2,1,0,0,1,0,
히로우치 도시,廣内トシ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1305)
히로우치 시게키치,廣内繁吉,1,2,1,0,0,0,0,
히지카타 기요시,土方淸,1,2,1,0,0,0,0,
권중현,權重顯,0,1,1,0,0,0,0,신규: 농상공부대신 — 검증시트 누락 반영
기삼연,奇參衍,0,1,1,0,0,0,0,신규: 의병장(단락 878) — 2차 검증 누락 반영
김갑진,,0,1,1,0,0,0,0,"신규: 귀빈 숙소 제공(단락 1229) — 한자 미상, 검증표본 판정 반영"
김영필,,0,1,1,0,0,0,0,신규: 탁지부 기수(단락 879) — 한자 미상
나스 도시오,那須敏男,0,1,1,0,0,0,1,출처: 조선대구일반 pp.189~190 — 나스 의원 원장
노기 마레스케,乃木希典,0,1,1,0,0,0,0,신규: 육군대장(단락 55)
민영기,閔泳綺,0,1,1,0,0,0,0,신규: 탁지부대신 — 검증시트 누락 반영
사이토 마코토,,0,1,1,0,0,0,0,신규: 단락 1079 우측통행 관련(본문 성만 표기 斎藤) — 보류판정 사용자 지정
서봉기,,0,1,1,0,0,0,0,"신규: 귀빈 접대(단락 1229) — 한자 미상, 검증표본 판정 반영"
신현구,,0,1,1,0,0,0,0,"신규: 달성군수(단락 449) — 한자 미상, 2차 검증 누락 반영"
야마가타 아리토모,山縣有朋,0,1,1,0,0,0,0,신규: 원수(단락 412)
야마구치 마츠에,山口松嵛,0,1,1,0,0,0,1,"출처: 조선대구일반 pp.278~279 — 왜관, 관호학교 설립. 한자 끝자 판독 불확실"
야마다(수비대장),,0,1,1,0,0,0,0,"신규: 수비대장 중위(단락 127) — 한자 山田, 문맥 귀속만 허용"
이경옥,,0,1,1,0,0,0,0,"신규: 귀빈 숙소 제공(단락 1229) — 한자 미상, 검증표본 판정 반영"
이근택,李根澤,0,1,1,0,0,0,0,신규: 군부대신 — 검증시트 누락 반영
이장우,,0,1,1,0,1,1,0,"신규: 귀빈 숙소 제공(단락 1229) — 한자 미상, 검증표본 판정 반영"
이지용,李址鎔,0,1,1,0,0,0,0,신규: 내부대신 — 검증시트 누락 반영
이진사,,0,1,1,0,0,0,0,"신규: 도적 두목(단락 878) — 호칭 표기, 2차 검증 누락 반영"
이진호,李軫鎬,0,1,1,1,1,1,0,신규: 도장관(단락 889) — 2차 검증 누락 반영
이하영,李夏榮,0,1,1,0,0,0,0,신규: 법부대신 — 검증시트 누락 반영
장지연,張志淵,0,1,1,0,0,0,0,신규: 황성신문 기자·시일야방성대곡(단락 854) — 2차 검증 누락 반영
차도선,車道善,0,1,1,0,0,0,0,신규: 의병장(단락 878) — 2차 검증 누락 반영
한상룡,韓相龍,0,1,1,0,0,0,0,신규: 한국측 이사(단락 1216) — 2차 검증 누락 반영
히다카(출장원),,0,1,1,0,0,0,0,"신규: 출장원(단락 275) — 히타카 사이지와 별개(사용자 확인), 풀네임 불명"
고타카 지로,小高二郎,0,0,0,0,0,0,1,"출처: 조선대구일반 pp.276~277 — 제일은행원, 한국척식(경산)"
구라카즈 히코사부로,倉員彦三郎,0,0,0,0,0,0,1,출처: 조선대구일반 p.279 — 왜관 곡물상. 員/貝 판독 불확실
기요미야 센노스케,清宮仙之助,0,0,0,0,0,0,1,출처: 조선대구일반 p.285 — 대구경찰서 경부
다마무라 요네지로,玉村米太郎,0,0,0,0,0,0,1,출처: 조선대구일반 pp.250~251 — 다마무라 서점
마츠바라 요네키치,松原米吉,0,0,0,0,0,0,1,출처: 조선대구일반 p.279 — 왜관 곡물상. 한자 판독 다소 불확실
모리 겐키치,,0,0,0,0,0,0,1,"출처: 조선대구일반 p.279 — 모리 고이치 아들, 왜관 곡물상. 한자 미상"
모리 고이치,森熙一,0,0,0,0,0,0,1,출처: 조선대구일반 pp.278~279 — 왜관 상업
소다 고하치,相田小八,0,0,0,0,0,0,1,출처: 조선대구일반 pp.243~244 — 주지도 의원 원장
시모야마 세이치로,下山淸一郎,0,0,0,0,0,0,1,출처: 조선대구일반 pp.246~247 — 변호사
야마우치 세사부로,山内淸三郎,0,0,0,0,0,0,1,출처: 조선대구일반 pp.278~279 — 왜관
오쿠무라 지스케,奧村治助,0,0,0,0,0,0,1,출처: 조선대구일반 p.279 — 왜관 곡물상
우메오카 도시오,梅岡敏夫,0,0,0,0,0,0,1,출처: 조선대구일반 p.286 — 경주 일본인회 회장
하시즈메 요시미,橋詰好,0,0,0,0,0,0,1,출처: 조선대구일반 p.282 — 삼랑진 일본인회 회장
호리이에 도라조,堀家虎造,0,0,0,0,0,0,1,출처: 조선대구일반 p.277 — 한국척식 지배인(경산)
히사노 도시오,久野敏雄,0,0,0,0,0,0,1,출처: 조선대구일반 pp.248~249 — 히사노 의원 원장
