한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
가토 이치로,加藤一郎,일본인,55,23,464,1908,1906-1910,,,도쿄(단락464),,1,1,1,1,법률사무소(모토마치 1정목),도쿄,1906,,도쿄,1906,조선대구일반(1911),"법률사무소(모토마치 1정목). 1882 도쿄 하마초(浜町) 출생, 추오대학 졸, 1906.9 대구 정주. 1908 상업회의소 의원·민단의원, 『대구신문』 이사(가와이 아사오와 공동 경영). pp.114~115.",,,,,,,,,조선대구일반(1911) pp.114~115,조선대구일반(1911) pp.114~115,조선대구일반(1911) pp.114~115,법률사무소(모토마치 1정목),조선대구일반(1911) pp.114~115,,
도쿠라 소로쿠,戸倉十六,일본인,53,24,24,1905,1904-1909,거류민회; 임시일본인대회; 팔조회; 대구상업회의소,,,1903(단락131); 1903(단락218),1,0,0,1,민단 조역,,,,,1903,조선대구일반(1911),민단 조역. 본문·pp.249~250 등장. ※CSV '도쿠라 소로쿠'와 동일 한자 — 이표기.,,,,,,,,,조선대구일반(1911) pp.216~217,,대구물어(1930) 1903(단락131); 1903(단락218),민단 조역,조선대구일반(1911) pp.216~217,,
와타나베 히스루,渡邊比,일본인,47,25,326,1908,1905-1909,대구상업회의소,,,1905(단락625),1,1,0,0,,,,,오카야마현,1905,대구물어,,,,오카야마현,대구민단사(1915) p.60,1905,대구민단사(1915) p.60,,,,대구민단사(1915) p.60,대구민단사(1915) p.60,,,,
미와 조테쓰,三輪如鐵,일본인,44,15,24,1905,1904-1909,거류민회; 임시일본인대회; 대구구락부; 팔조회,,,1891(단락339),1,1,1,1,저자,,,,,1891,조선대구일반(1911),저자. 대구 거주 8년(1902경~1910). 본문 곳곳 1인칭 등장. CSV '미와 조테쓰'(통합 표기)와 동일 인물.,,,,,,,,,조선대구일반(1911) pp.114~127,,대구물어(1930) 1891(단락339),저자,조선대구일반(1911) pp.114~127,,
나카자와 덴노스케,中澤傳之助,일본인,43,21,368,1909,1905-1909,대구상업회의소,,,,1,0,0,1,본문 등장 확인.,,,,,,조선대구일반(1911),본문 등장 확인.,달성공원기성회 회계,대구민단사(1915) p.168,,,,,,,조선대구일반(1911) pp.216~217,,,달성공원기성회 회계,대구민단사(1915) p.168,,
야스마쓰 구마키치,安松熊吉,일본인,41,22,127,1907,1905-1909,대구상업회의소,,,,1,0,1,1,곡물수출상(시장 북로),후쿠오카 현,1904,,후쿠오카 현,1904,조선대구일반(1911),"곡물수출상(시장 북로). 후쿠오카 현, 1890부터 부산, 1904.10 대구. 초대 민단의원(1906.12), 상업회의소 부회장. pp.118~119. ※CSV 표기도 '구마키치'로 교정됨(대구물어단체와인물.docx 대조).",곡물수출상; 대구곡물조합 조장; 상업회의소 부회두,경북요람(1910년대) p.219,,,,,,,조선대구일반(1911) pp.118~119,조선대구일반(1911) pp.118~119,조선대구일반(1911) pp.118~119,곡물수출상(시장 북로); 곡물수출상; 대구곡물조합 조장; 상업회의소 부회두,조선대구일반(1911) pp.118~119; 경북요람(1910년대) p.219,,
히자쓰키 마스키치,膝付益吉,일본인,40,11,98,1905,1904-1905,거류민회; 대구구락부; 팔조회; 달성학교,,오카야마현(단락98),1893(단락98),1,1,0,0,,,,,오카야마현,1893,대구물어,,달성학교 교주(감독); 일본인회 초대 회장(1900.11),대구민단사(1915) p.22,,,,,,,,대구물어(1930) 오카야마현(단락98),대구물어(1930) 1893(단락98),달성학교 교주(감독); 일본인회 초대 회장(1900.11),대구민단사(1915) p.22,,
후지나와 분준,藤縄文順,일본인,38,18,29,1907,1904-1910,,,,,1,1,1,1,본문 등장 확인.,,,,,,조선대구일반(1911),본문 등장 확인.,,,,,,,,,조선대구일반(1911) pp.216~217,,,,,,
시부사와 슈조,澁澤周藏,일본인,36,18,310,1908,1904-1910,,,,,1,0,1,0,,,,,군마현,1904~05(경부철도 속성공사 시),,,철도 종사→농사 경영·저빙고(얼음 판매),대구민단사(1915) p.64,군마현,대구민단사(1915) p.64,1904~05(경부철도 속성공사 시),대구민단사(1915) p.64,,,,대구민단사(1915) p.64,대구민단사(1915) p.64,철도 종사→농사 경영·저빙고(얼음 판매),대구민단사(1915) p.64,,
니시모토 민조,西本民城,일본인,35,17,368,1907,1905-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아오키 시게노부,靑木重信,일본인,35,22,537,1908,1905-1910,대구상업회의소,,,,1,1,1,1,"아오키 상점(青木商店, 모토마치)",총독부,1905,,총독부,1905,조선대구일반(1911),"아오키 상점(青木商店, 모토마치). 총독부 도량형기 위탁판매·측량기계·전당포. 오카야마 현 조토 군, 1905.4 대구. pp.196~197.",,,,,,,,,조선대구일반(1911) pp.196~197,조선대구일반(1911) pp.196~197,조선대구일반(1911) pp.196~197,"아오키 상점(青木商店, 모토마치)",조선대구일반(1911) pp.196~197,,
스기하라 신키치,杉原新吉,일본인,34,18,323,1907,1904-1910,대구상업회의소,,,,1,1,1,0,,,,,,,,,재목상; 대구목재상조합 대표,경북요람(1910년대) p.239,,,,,,,,,,재목상; 대구목재상조합 대표,경북요람(1910년대) p.239,,
우치다 로쿠로,内田六郎,일본인,34,17,24,1905,1904-1908,거류민회; 팔조회,26세(단락28),,,1,1,1,1,"상큐상회(三九商會), 스탠다드 석유회사 관련",,,,,,조선대구일반(1911),"상큐상회(三九商會), 스탠다드 석유회사 관련. pp.236~237.",잡화·우유(상큐상회); 상업회의소 상무위원,경북요람(1910년대) p.240,,,,,,,조선대구일반(1911) pp.236~237,,,"상큐상회(三九商會), 스탠다드 석유회사 관련; 잡화·우유(상큐상회); 상업회의소 상무위원",조선대구일반(1911) pp.236~237; 경북요람(1910년대) p.240,,
다도코로 유키에,田所幸衛,일본인,33,13,37,1905,1905-1906,거류민회; 대구구락부,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마치다 규고,町田久吾,일본인,32,14,29,1905,1904-1910,임시일본인대회; 쇄신회,,,1904(단락375),1,1,1,1,"마치다 회춘당 약국(町田回春堂藥局, 모토마치 1정목) 약제사",니이가타 현,1904,37세(1910시점),니이가타 현,1904,조선대구일반(1911),"마치다 회춘당 약국(町田回春堂藥局, 모토마치 1정목) 약제사. 니이가타 현 다카다초, 1904.4 대구. 대구 약품업계 조합 창시(1904.11), 간사장. 민단 부의장, 1910.3 상업회의소 의원. 37세. pp.194~195.",,,,,,,,,조선대구일반(1911) pp.194~195,조선대구일반(1911) pp.194~195,조선대구일반(1911) pp.194~195,"마치다 회춘당 약국(町田回春堂藥局, 모토마치 1정목) 약제사",조선대구일반(1911) pp.194~195,,
미카지리 주고,三ヶ尻忠吾,일본인,31,14,570,1908,1907-1909,,,후쿠오카현(단락1074),,0,1,0,0,,,,,후쿠오카현,,대구물어,,"전 관리(홋카이도 아바시리 지청장); 석유무역·석탄 이입, 가스·석탄상(금정)",대구민단사(1915) p.72,후쿠오카현,대구민단사(1915) p.72,,,,,,대구민단사(1915) p.72,,"전 관리(홋카이도 아바시리 지청장); 석유무역·석탄 이입, 가스·석탄상(금정)",대구민단사(1915) p.72,,
와타나베 무라오,渡邉村男,일본인,30,17,1039,1908,1907-1908,,,,,1,0,1,0,,,,,후쿠오카현 지쿠고,,,,전 교원·경부·군장(郡長); 대구거류민단 2대 민장,대구민단사(1915) p.52,후쿠오카현 지쿠고,대구민단사(1915) p.52,,,,,,대구민단사(1915) p.52,,전 교원·경부·군장(郡長); 대구거류민단 2대 민장,대구민단사(1915) p.52,,
가미야 도요나리,神谷豐功,일본인,29,12,24,1907,1904-1909,거류민회; 임시일본인대회; 대구상업회의소,,,,1,1,1,1,"가미야 상회(어용달상, 히가시혼마치)",후쿠이 시,1904,,후쿠이 시,1904,조선대구일반(1911),"가미야 상회(어용달상, 히가시혼마치). 후쿠이 시, 일본은행 모지 지점 출신, 1904.4 대구. 일본거류민회 의원(1904.8)·의장(1905.8). pp.117~118.",,,,,,,,,조선대구일반(1911) ,조선대구일반(1911) ,조선대구일반(1911) ,"가미야 상회(어용달상, 히가시혼마치)",조선대구일반(1911) ,,
기무라 다케타로,木村竹太郎,일본인,29,14,483,1908,1905-1910,대구상업회의소,,,,1,1,1,1,오카야마 현 쓰쿠보 군,오카야마 현,,,오카야마 현,,조선대구일반(1911),오카야마 현 쓰쿠보 군. 지점 경영. pp.240~241.,전당포·활판업; 보험대리,경북요람(1910년대) p.239,,,,,,,조선대구일반(1911) pp.240~241,조선대구일반(1911) pp.240~241,,오카야마 현 쓰쿠보 군; 전당포·활판업; 보험대리,조선대구일반(1911) pp.240~241; 경북요람(1910년대) p.239,,
나카하라 후사이치,中原房一,일본인,29,13,310,1906,1905-1909,,,,1905(단락662),1,1,1,1,과수원 경영,,,,,1905,조선대구일반(1911),과수원 경영. pp.216~217.,농업·대금(과수원 경영); 농산물 판매(동운정),경북요람(1910년대) p.241,,,,,,,조선대구일반(1911) pp.216~217,,대구물어(1930) 1905(단락662),과수원 경영; 농업·대금(과수원 경영); 농산물 판매(동운정),조선대구일반(1911) pp.216~217; 경북요람(1910년대) p.241,,
스다 산페이,須田三平,일본인,29,15,24,1907,1905-1909,거류민회; 임시일본인대회,,,,1,1,0,0,,,,,미야기현,,,,"여관업(미야기야, 대구 여관업 선구자)→농업",대구민단사(1915) p.58,미야기현,대구민단사(1915) p.58,,,,,,대구민단사(1915) p.58,,"여관업(미야기야, 대구 여관업 선구자)→농업",대구민단사(1915) p.58,,
우지노 도쿠타로,氏野徳太郎,일본인,28,18,718,1907,1907-1908,,,,1907(단락718),1,0,0,0,,,,,,1907,대구물어,,,,,,,,,,,,대구물어(1930) 1907(단락718),,,,
마에카와 도모지,前川知二,일본인,27,13,282,1909,1904-1909,팔조회,,,,1,1,1,1,"마에카와 상점(前川商店, 시장 북로), 직물·잡화 수입 도매, 스탠다드 석유 특약점",요코하마 시,1904,27세(1910시점),요코하마 시,1904,조선대구일반(1911),"마에카와 상점(前川商店, 시장 북로), 직물·잡화 수입 도매, 스탠다드 석유 특약점. 요코하마 시 출신(오우미 태생), 오사카 곤도 상점(近藤商店) 대구지점 주임(1904 가을)→1906.12 계승. 1908.3 상업회의소 의원, 상임위원. 27세. pp.195~196",,,,,,,,,조선대구일반(1911) pp.195~196,조선대구일반(1911) pp.195~196,조선대구일반(1911) pp.195~196,"마에카와 상점(前川商店, 시장 북로), 직물·잡화 수입 도매, 스탠다드 석유 특약점",조선대구일반(1911) pp.195~196,,
시모다 고키치,霜田語吉,일본인,27,15,24,1907,1905-1909,거류민회; 임시일본인대회,,,,1,1,1,1,요리점 야마토(니시키초)·야마토 화단 주인,도쿄,1904,,도쿄,1904,조선대구일반(1911),"요리점 야마토(니시키초)·야마토 화단 주인. 도쿄 출신, 1904.4 대구 서부에 서양요리점(대구 서양요리 원조). 일본인 동포회 발기인, 초대 민단의원(1906.12). pp.192~193. ※CSV 표기는 '시모다 고키치'로 교정됨.",,,,,,,,,조선대구일반(1911) pp.192~193,조선대구일반(1911) pp.192~193,조선대구일반(1911) pp.192~193,요리점 야마토(니시키초)·야마토 화단 주인,조선대구일반(1911) pp.192~193,,
쓰치야 히코타로,土屋彦太郎,일본인,26,13,399,1907,1905-1909,대구상업회의소,,,,1,0,0,1,본문 등장 확인.,,,,,,조선대구일반(1911),본문 등장 확인.,(경상)농공은행 초대 지배인,대구민단사(1915) p.126,,,,,,,조선대구일반(1911) pp.216~217,,,(경상)농공은행 초대 지배인,대구민단사(1915) p.126,,
쓰지 소노지로,辻園次郎,일본인,25,11,24,1905,1904-1907,거류민회,22세(단락28),,,0,0,0,1,쓰지 상점 연초제조소(都路商店煙草製造所) 주인,오사카,1904,,오사카,1904,조선대구일반(1911),"쓰지 상점 연초제조소(都路商店煙草製造所) 주인. 오사카 출신, 1904.5 하라다 지점(原田支店) 주임으로 대구, 1906.1 재도한·쓰지 상점 개업, 1907.3 담배제조공장 설립. 궐련 '백학(白鶴)' 등 상표. 1904.6 일본동포회 창립위원, 거류민회 의원. p",,,,,,,,,조선대구일반(1911) pp.125~126,조선대구일반(1911) pp.125~126,조선대구일반(1911) pp.125~126,쓰지 상점 연초제조소(都路商店煙草製造所) 주인,조선대구일반(1911) pp.125~126,,
이나모토 신신,稻本新臣,일본인,24,11,227,1908,1905-1910,,,도쿠시마현(단락227),,0,1,1,0,,,,,도쿠시마현,,대구물어,,,,,,,,,,,대구물어(1930) 도쿠시마현(단락227),,,,,
히사미즈 사부로,久水三郎,일본인,24,14,1111,1908,1908-1909,,20세(단락1173),,,1,0,0,0,,,,,,,대구물어,,대구이사청 이사관(1907.4 부임),대구민단사(1915) p.110,,,,,,,,,,대구이사청 이사관(1907.4 부임),대구민단사(1915) p.110,,
사키사카 쇼키치,向坂庄吉,일본인,23,10,597,1908,1906-1909,,30세(단락598),,,1,1,1,0,,,,,고치현,,대구물어,,전 육군 장교; 대금업; 대구인쇄합자회사(1911.3) 대표,대구민단사(1915) p.70,고치현,대구민단사(1915) p.70,,,,,,대구민단사(1915) p.70,,전 육군 장교; 대금업; 대구인쇄합자회사(1911.3) 대표,대구민단사(1915) p.70,,
쓰네요시 다다미치,恒吉忠道,일본인,23,13,930,1908,1907-1909,,,,,1,0,1,0,,,,,,,,,제12여단장(육군 소장),경북요람(1910년대) p.185,,,,,,,,,,제12여단장(육군 소장),경북요람(1910년대) p.185,,
마유미 다다시,眞弓忠,일본인,22,12,24,1905,1904-1908,거류민회; 임시일본인대회,35세(단락28),,,1,1,1,0,,,,,미에현 이세,,대구물어,,약종상(시장정)·매약,대구민단사(1915) p.62,미에현 이세,대구민단사(1915) p.62,,,,,,대구민단사(1915) p.62,,약종상(시장정)·매약,대구민단사(1915) p.62,,
모리나가 소이치,守永宗一,일본인,22,9,24,1904,1904-1908,거류민회; 팔조회,32세(단락28),,,1,1,0,1,서화·골동·미술품상 및 대서업,야마구치 현,1904,,야마구치 현,1904,조선대구일반(1911),"서화·골동·미술품상 및 대서업. 야마구치 현 하기, 미와 가문(三輪家) 출신, 1904.1 대구. 거류민회 의원(1904.8), 민회 서기(1906.4), 민단장 보좌. pp.249~250.",,,,,,,,,조선대구일반(1911) pp.249~250,조선대구일반(1911) pp.249~250,조선대구일반(1911) pp.249~250,서화·골동·미술품상 및 대서업,조선대구일반(1911) pp.249~250,,
가와카미 쓰네오,川上常郎,일본인,21,12,646,1908,1905-1909,,,,1907(단락893),1,0,1,1,p.289,,,,,1907,조선대구일반(1911),"p.289. ※'이노우에 쓰네오井上常郎'로 판독했으나 川/井 구분 불확실. CSV의 가와카미 쓰네오(川上常郎, 대구물어 9회)로 잠정 연계 — 이노우에 쓰네나오(井上常直)와는 별개 인물(확인됨). 원본 대조 필요.",재무감독국장,대구민단사(1915) p.34,,,,,,,조선대구일반(1911) pp.289,,대구물어(1930) 1907(단락893),p.289; 재무감독국장,조선대구일반(1911) pp.289; 대구민단사(1915) p.34,,
구로카와 엔지,黒川圓治,일본인,21,10,427,1908,1906-1910,,,,,1,0,1,0,,,,,시즈오카현,,,,대금업→창호·다다미 제조판매,대구민단사(1915) p.64,시즈오카현,대구민단사(1915) p.64,,,,,,대구민단사(1915) p.64,,대금업→창호·다다미 제조판매,대구민단사(1915) p.64,,
기도 다다지로,城戸唯次郎,일본인,21,10,339,1907,1904-1909,팔조회,,,,1,1,1,1,"여관 다다야(唯家, 니시키초) 주인",에히메 현,1903,,에히메 현,1903,조선대구일반(1911),"여관 다다야(唯家, 니시키초) 주인. 에히메 현 기타고오리 이카자키, 1903.4 대구. 1906~ 거류민회 의원·초기 민단의원. pp.123~125.",,,,,,,,,조선대구일반(1911) pp.123~125,조선대구일반(1911) pp.123~125,조선대구일반(1911) pp.123~125,"여관 다다야(唯家, 니시키초) 주인",조선대구일반(1911) pp.123~125,,
오카모토 리헤이,岡本利平,일본인,21,13,330,1906,1905-1909,대구상업회의소,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시라타 신스케,白田新助,일본인,20,8,24,1905,1905-1909,거류민회; 임시일본인대회,29세(단락28),,1904(단락375),1,1,1,1,"시로타 약국(白田藥局, 혼마치 1정목)",후쿠시마 현,1904,,후쿠시마 현,1904,조선대구일반(1911),"시로타 약국(白田藥局, 혼마치 1정목). 후쿠시마 현, 원성 사이토(齋藤). 1904.2 대구, 약재업. 1904.8 일본거류민회 조직 시 의원, 1906.4 재선, 상업회의소 의원. pp.245~246.",,,,,,,,,조선대구일반(1911) pp.245~246,조선대구일반(1911) pp.245~246,조선대구일반(1911) pp.245~246,"시로타 약국(白田藥局, 혼마치 1정목)",조선대구일반(1911) pp.245~246,,
오노 미네지로,大野峯次郎,일본인,20,11,633,1907,1905-1909,대구상업회의소,,,,1,0,1,0,,,,,,,,,정미업,경북요람(1910년대) p.240,,,,,,,,,,정미업,경북요람(1910년대) p.240,,
다케카와 세이지,武川盛次,일본인,19,6,1107,1908,1907-1909,,,,,1,0,0,0,,,,,,,,,제일은행 대구지점장(1908.1~)→한국은행 대구지점장(~1910.6),대구민단사(1915) p.126,,,,,,,,,,제일은행 대구지점장(1908.1~)→한국은행 대구지점장(~1910.6),대구민단사(1915) p.126,,
마쓰시타 나오미,松下直美,일본인,19,10,607,1908,1905-1909,,,,,1,0,1,0,,,,,,,,,법무보좌관(사법고문)→대구지방재판소장,경북요람(1910년대) p.184,,,,,,,,,,법무보좌관(사법고문)→대구지방재판소장,경북요람(1910년대) p.184,,
마쓰모토 시게마사,松本繁正,일본인,18,4,687,1908,1907-1908,,,,,1,1,1,0,,,,,,,,,대구자혜의원 원장(육군 군의정),경북요람(1910년대) p.219,,,,,,,,,,대구자혜의원 원장(육군 군의정),경북요람(1910년대) p.219,,
사이토 요시조,齋藤芳造,일본인,18,11,296,1906,1904-1908,,,,,1,0,1,0,,,,,지바현,,,,잡화상(서문 안)→대구제분정미(주) 종사,대구민단사(1915) p.62,지바현,대구민단사(1915) p.62,,,,,,대구민단사(1915) p.62,,잡화상(서문 안)→대구제분정미(주) 종사,대구민단사(1915) p.62,,
스즈키 히사지로,鈴木久次郎,일본인,18,6,24,1905,1905-1905,거류민회; 임시일본인대회; 대구구락부,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이노우에 소노스케,井上宗之助,일본인,18,7,640,1907,1905-1908,대구상업회의소,,,1907(단락718),1,0,0,0,,,,,,1907,대구물어,,대구일본인상업회의소 초대 서기장(1907.1),대구민단사(1915) p.186,,,,,,,,,대구물어(1930) 1907(단락718),대구일본인상업회의소 초대 서기장(1907.1),대구민단사(1915) p.186,,
후쿠나가 도쿠지로,福永徳治郎,일본인,18,8,361,1909,1905-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가미모리 겐자부로,神守源三郎,일본인,17,6,373,1905,1905-1909,대구상업회의소,,미에현(단락373),,1,0,0,0,,,,,미에현,,대구물어,,,,,,,,,,,대구물어(1930) 미에현(단락373),,,,,
기쿠치 슈덴,菊池主殿,일본인,17,12,811,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사카모토 도시스케,坂本俊資,일본인,17,7,28,1904,1904-1909,팔조회,,,,1,0,1,0,,,,,야마구치현,,,,마쓰마에상점 대구지점 주관(대구 제일 무역상),대구민단사(1915) p.72,야마구치현,대구민단사(1915) p.72,,,,,,대구민단사(1915) p.72,,마쓰마에상점 대구지점 주관(대구 제일 무역상),대구민단사(1915) p.72,,
이노우에 다쓰지로,井上達次郎,일본인,17,9,536,1909,1905-1909,대구상업회의소,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후쿠치 기사쿠,福地義作,일본인,17,9,662,1908,1906-1910,,,,,1,0,1,0,,,,,시즈오카현,,,,군인 출신; 농업(동문 밖)·곡물상; 대구잠업조합원,대구민단사(1915) p.66,시즈오카현,대구민단사(1915) p.66,,,,,,대구민단사(1915) p.66,,군인 출신; 농업(동문 밖)·곡물상; 대구잠업조합원,대구민단사(1915) p.66,,
나가이 고타로,永井幸太郎,일본인,16,8,29,1905,1904-1908,팔조회,,,,1,1,1,1,"화물운송업 초호샤(重寶社, 대구역 구내)",요코하마 시,1904,,요코하마 시,1904,조선대구일반(1911),"화물운송업 초호샤(重寶社, 대구역 구내). 요코하마 시, 1904.10 대구. 민단의원 후보 3회 추천·고사. pp.126~127.",,,,,,,,,조선대구일반(1911) pp.126~127,조선대구일반(1911) pp.126~127,조선대구일반(1911) pp.126~127,"화물운송업 초호샤(重寶社, 대구역 구내)",조선대구일반(1911) pp.126~127,,
마쓰모토 세이이치,松本誠一,일본인,16,9,29,1908,1904-1909,,,,,1,1,1,0,,,,,사가현,1904,,,"연초 제조(대구 일본연초 제조 최초, 마쓰모토 담배공장 1904 창업)",대구민단사(1915) p.62,사가현,대구민단사(1915) p.62,1904,대구안내(1918) p.122,,,,대구민단사(1915) p.62,대구안내(1918) p.122,"연초 제조(대구 일본연초 제조 최초, 마쓰모토 담배공장 1904 창업)",대구민단사(1915) p.62,,
오카모토 마사오,岡本正夫,일본인,16,9,458,1908,1906-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이토 모토타로,伊藤元太郎,일본인,16,7,239,1906,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
